Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
56,US-2021-100056,07/23/2021,07/24/2021,Standard Class,CU-10767,Customer 632,Home Office,United States,Nevada,Nevada,38130,West,OFF-STO-1427,Office Supplies,Storage,Storage model 16,98.61,9,0.0,4.21
57,US-2024-100057,08/03/2024,08/08/2024,First Class,CU-10165,Customer 130,Corporate,United States,Florida,Florida,10110,South,FUR-CHA-1999,Furniture,Chairs,Chairs model 152,1533.8,5,0.0,437.52
58,US-2023-100058,03/16/2023,03/22/2023,Standard Class,CU-10672,Customer 595,Consumer,United States,Washington,Washington,39765,West,OFF-PAP-3221,Office Supplies,Paper,Paper model 279,251.04,5,0.1,0.39
59,US-2021-100059,10/07/2021,10/09/2021,Standard Class,CU-10037,Customer 565,Corporate,United States,California,California,65812,West,OFF-STO-5279,Office Supplies,Storage,Storage model 73,829.38,6,0.0,249.69
60,US-2022-100060,12/23/2022,12/24/2022,First Class,CU-10682,Customer 445,Consumer,United States,New Jersey,New Jersey,50900,East,TEC-ACC-9713,Technology,Accessories,Accessories model 181,3847.8,3,0.3,237.48
61,US-2021-100061,08/05/2021,08/08/2021,Standard Class,CU-10639,Customer 588,Consumer,United States,Alabama,Alabama,41182,South,TEC-MAC-4449,Technology,Machines,Machines model 6,3960.62,5,0.0,1091.29
62,US-2022-100062,03/17/2022,03/23/2022,Standard Class,CU-10253,Customer 635,Corporate,United States,Texas,Texas,55655,Central,OFF-ART-2092,Office Supplies,Art,Art model 297,728.84,8,0.0,11.65
63,US-2023-100063,04/24/2023,04/29/2023,Standard Class,CU-10101,Customer 357,Home Office,United States,California,California,63510,West,TEC-PHO-2188,Technology,Phones,Phones model 89,3828.65,4,0.15,372.69
64,US-2021-100064,03/17/2021,03/22/2021,Second Class,CU-10185,Customer 426,Home Office,United States,Oregon,Oregon,75318,West,FUR-FUR-7867,Furniture,Furnishings,Furnishings model 170,1514.26,2,0.15,259.98
65,US-2024-100065,09/11/2024,09/15/2024,Standard Class,CU-10009,Customer 128,Home Office,United States,Nevada,Nevada,71431,West,OFF-LAB-5218,Office Supplies,Labels,Labels model 45,723.9,9,0.0,164.12
66,US-2024-100066,09/05/2024,09/12/2024,Standard Class,CU-10730,Customer 71,Consumer,United States,Nevada,Nevada,76753,West,FUR-BOO-6874,Furniture,Bookcases,Bookcases model 219,1886.36,9,0.3,121.93
67,US-2024-100067,02/11/2024,02/18/2024,Same Day,CU-10692,Customer 790,Home Office,United States,Ohio,Ohio,43942,Central,FUR-TAB-8244,Furniture,Tables,Tables model 216,4792.76,7,0.2,237.76
68,US-2022-100068,05/24/2022,05/29/2022,Standard Class,CU-10464,Customer 290,Corporate,United States,Alabama,Alabama,45469,South,OFF-PAP-7919,Office Supplies,Paper,Paper model 40,536.94,6,0.1,148.35
69,US-2021-100069,02/04/2021,02/11/2021,Standard Class,CU-10194,Customer 383,Consumer,United States,California,California,56980,West,OFF-ART-1513,Office Supplies,Art,Art model 141,799.81,7,0.0,243.67
70,US-2021-100070,05/12/2021,05/19/2021,First Class,CU-10522,Customer 618,Consumer,United States,Washington,Washington,91146,West,OFF-BIN-1946,Office Supplies,Binders,Binders model 295,63.15,3,0.0,10.39
71,US-2022-100071,08/22/2022,08/23/2022,Standard Class,CU-10243,Customer 65,Corporate,United States,Ohio,Ohio,32792,Central,FUR-FUR-5088,Furniture,Furnishings,Furnishings model 48,4469.09,9,0.15,162.41
72,US-2023-100072,12/17/2023,12/20/2023,Standard Class,CU-10297,Customer 186,Corporate,United States,Massachusetts,Massachusetts,90650,East,OFF-STO-7539,Office Supplies,Storage,Storage model 31,921.62,8,0.0,79.88
73,US-2023-100073,08/09/2023,08/12/2023,Standard Class,CU-10359,Customer 575,Consumer,United States,Washington,Washington,32356,West,FUR-FUR-3997,Furniture,Furnishings,Furnishings model 74,235.21,1,0.3,-19.86
74,US-2021-100074,01/05/2021,01/11/2021,Standard Class,CU-10414,Customer 146,Consumer,United States,California,California,95701,West,TEC-COP-1804,Technology,Copiers,Copiers model 145,2918.43,3,0.1,441.72
75,US-2024-100075,11/02/2024,11/04/2024,Standard Class,CU-10202,Customer 776,Consumer,United States,Alabama,Alabama,46040,South,OFF-BIN-5757,Office Supplies,Binders,Binders model 160,44.5,2,0.0,11.29
76,US-2024-100076,04/07/2024,04/13/2024,Second Class,CU-10375,Customer 526,Home Office,United States,Texas,Texas,66043,Central,TEC-COP-1486,Technology,Copiers,Copiers model 225,2668.74,4,0.0,1029.02
77,US-2023-100077,02/15/2023,02/19/2023,Standard Class,CU-10511,Customer 347,Home Office,United States,Ohio,Ohio,23709,Central,TEC-PHO-8087,Technology,Phones,Phones model 190,1689.43,3,0.0,538.34
78,US-2022-100078,08/28/2022,09/03/2022,Standard Class,CU-10368,Customer 72,Consumer,United States,Washington,Washington,71027,West,OFF-LAB-9874,Office Supplies,Labels,Labels model 253,566.45,7,0.4,-118.73
79,US-2023-100079,12/26/2023,01/01/2024,Second Class,CU-10793,Customer 315,Home Office,United States,Texas,Texas,46282,Central,TEC-MAC-9047,Technology,Machines,Machines model 168,1584.7,3,0.4,458.22
80,US-2022-100080,04/28/2022,05/01/2022,Second Class,CU-10517,Customer 105,Corporate,United States,New Jersey,New Jersey,68995,East,TEC-ACC-7596,Technology,Accessories,Accessories model 199,1673.77,2,0.0,386.69
81,US-2021-100081,08/26/2021,09/01/2021,Standard Class,CU-10688,Customer 224,Home Office,United States,California,California,70725,West,FUR-CHA-9228,Furniture,Chairs,Chairs model 273,2337.1,9,0.0,302.6
82,US-2024-100082,01/28/2024,02/04/2024,Second Class,CU-10488,Customer 435,Home Office,United States,Texas,Texas,12090,Central,OFF-STO-5852,Office Supplies,Storage,Storage model 120,488.04,6,0.5,5.08
83,US-2021-100083,09/15/2021,09/22/2021,Standard Class,CU-10683,Customer 322,Home Office,United States,Ohio,Ohio,92139,Central,OFF-ART-9589,Office Supplies,Art,Art model 277,641.45,8,0.15,3.63
84,US-2024-100084,12/26/2024,01/01/2025,Standard Class,CU-10610,Customer 369,Home Office,United States,Nevada,Nevada,62735,West,OFF-LAB-4262,Office Supplies,Labels,Labels model 123,203.95,3,0.15,37.05
85,US-2023-100085,04/14/2023,04/16/2023,Standard Class,CU-10006,Customer 92,Corporate,United States,California,California,45105,West,TEC-COP-5054,Technology,Copiers,Copiers model 299,6093.52,4,0.0,916.87
86,US-2022-100086,08/09/2022,08/14/2022,First Class,CU-10746,Customer 178,Home Office,United States,California,California,69710,West,OFF-BIN-5072,Office Supplies,Binders,Binders model 34,113.54,8,0.2,12.41
87,US-2023-100087,01/10/2023,01/14/2023,Standard Class,CU-10400,Customer 546,Corporate,United States,Ohio,Ohio,75505,Central,OFF-BIN-2064,Office Supplies,Binders,Binders model 293,254.08,3,0.5,-7.64
88,US-2021-100088,11/03/2021,11/04/2021,Standard Class,CU-10537,Customer 188,Consumer,United States,Washington,Washington,77393,West,OFF-STO-7429,Office Supplies,Storage,Storage model 240,433.82,4,0.3,110.86
89,US-2023-100089,04/13/2023,04/20/2023,Standard Class,CU-10076,Customer 680,Consumer,United States,Pennsylvania,Pennsylvania,79715,East,FUR-FUR-1889,Furniture,Furnishings,Furnishings model 11,1624.47,9,0.0,293.16
90,US-2021-100090,02/08/2021,02/10/2021,Second Class,CU-10688,Customer 470,Home Office,United States,Oregon,Oregon,33170,West,FUR-FUR-3945,Furniture,Furnishings,Furnishings model 225,749.66,1,0.0,116.39
91,US-2022-100091,03/28/2022,03/31/2022,Standard Class,CU-10175,Customer 35,Corporate,United States,New Jersey,New Jersey,84078,East,OFF-ART-1550,Office Supplies,Art,Art model 120,455.86,4,0.0,55.78
92,US-2021-100092,09/20/2021,09/24/2021,Second Class,CU-10314,Customer 757,Home Office,United States,Ohio,Ohio,36017,Central,OFF-BIN-3266,Office Supplies,Binders,Binders model 220,1318.15,9,0.0,2.56
93,US-2022-100093,06/26/2022,07/01/2022,Second Class,CU-10021,Customer 83,Home Office,United States,New Jersey,New Jersey,84394,East,TEC-ACC-4136,Technology,Accessories,Accessories model 168,4581.25,5,0.0,138.91
94,US-2021-100094,08/26/2021,08/29/2021,Second Class,CU-10451,Customer 622,Home Office,United States,Pennsylvania,Pennsylvania,25476,East,OFF-PAP-8557,Office Supplies,Paper,Paper model 267,72.91,5,0.0,9.67
95,US-2022-100095,11/25/2022,11/26/2022,Standard Class,CU-10172,Customer 83,Home Office,United States,Pennsylvania,Pennsylvania,48045,East,TEC-MAC-5692,Technology,Machines,Machines model 53,4995.15,4,0.0,106.19
96,US-2022-100096,05/17/2022,05/20/2022,First Class,CU-10044,Customer 559,Corporate,United States,New York,New York,18984,East,OFF-LAB-7777,Office Supplies,Labels,Labels model 33,130.19,3,0.0,19.8
97,US-2021-100097,10/18/2021,10/24/2021,Standard Class,CU-10603,Customer 374,Corporate,United States,New York,New York,95377,East,FUR-TAB-1777,Furniture,Tables,Tables model 173,6721.54,9,0.0,1738.14
98,US-2022-100098,04/22/2022,04/26/2022,Standard Class,CU-10394,Customer 173,Home Office,United States,Alabama,Alabama,27388,South,TEC-PHO-9835,Technology,Phones,Phones model 31,3646.87,5,0.15,452.17
99,US-2023-100099,09/01/2023,09/04/2023,Standard Class,CU-10345,Customer 775,Consumer,United States,Alabama,Alabama,61113,South,OFF-STO-4452,Office Supplies,Storage,Storage model 139,540.8,4,0.1,-50.79
100,US-2024-100100,11/17/2024,11/20/2024,Standard Class,CU-10302,Customer 606,Corporate,United States,Oregon,Oregon,77997,West,OFF-STO-5791,Office Supplies,Storage,Storage model 77,28.21,1,0.1,7.32
101,US-2021-100101,06/02/2021,06/07/2021,Standard Class,CU-10042,Customer 748,Home Office,United States,Ohio,Ohio,71237,Central,OFF-LAB-9219,Office Supplies,Labels,Labels model 169,532.12,9,0.15,65.72
102,US-2021-100102,12/16/2021,12/20/2021,Standard Class,CU-10372,Customer 46,Corporate,United States,New York,New York,34330,East,TEC-ACC-7047,Technology,Accessories,Accessories model 49,1180.87,2,0.3,425.73
103,US-2021-100103,12/18/2021,12/25/2021,First Class,CU-10770,Customer 404,Consumer,United States,Nevada,Nevada,53358,West,OFF-STO-3199,Office Supplies,Storage,Storage model 169,29.31,1,0.3,-7.41
104,US-2024-100104,09/27/2024,09/30/2024,First Class,CU-10334,Customer 52,Home Office,United States,Ohio,Ohio,12157,Central,OFF-ART-9459,Office Supplies,Art,Art model 156,240.48,2,0.0,63.68
105,US-2023-100105,07/04/2023,07/09/2023,Standard Class,CU-10301,Customer 459,Corporate,United States,Illinois,Illinois,26962,Central,FUR-TAB-5429,Furniture,Tables,Tables model 103,1117.26,2,0.1,-109.87
106,US-2021-100106,11/24/2021,11/30/2021,Standard Class,CU-10779,Customer 291,Corporate,United States,New York,New York,13230,East,OFF-LAB-2840,Office Supplies,Labels,Labels model 160,380.06,4,0.15,0.12
107,US-2021-100107,10/25/2021,10/30/2021,First Class,CU-10241,Customer 749,Corporate,United States,Nevada,Nevada,24018,West,FUR-FUR-7498,Furniture,Furnishings,Furnishings model 160,3719.81,5,0.3,419.94
108,US-2024-100108,03/03/2024,03/07/2024,Standard Class,CU-10050,Customer 539,Home Office,United States,Massachusetts,Massachusetts,88056,East,OFF-STO-2147,Office Supplies,Storage,Storage model 212,450.4,9,0.0,4.93
109,US-2022-100109,06/13/2022,06/20/2022,Second Class,CU-10101,Customer 611,Consumer,United States,Ohio,Ohio,53463,Central,TEC-COP-5109,Technology,Copiers,Copiers model 137,5540.88,6,0.3,1557.22
110,US-2021-100110,06/16/2021,06/17/2021,Standard Class,CU-10061,Customer 688,Consumer,United States,Georgia,Georgia,28523,South,OFF-PAP-3543,Office Supplies,Paper,Paper model 292,465.81,7,0.15,17.99
111,US-2024-100111,06/25/2024,07/02/2024,First Class,CU-10189,Customer 208,Corporate,United States,Florida,Florida,58349,South,TEC-ACC-6940,Technology,Accessories,Accessories model 188,188.92,1,0.0,53.69
112,US-2023-100112,08/10/2023,08/17/2023,Standard Class,CU-10759,Customer 260,Corporate,United States,Florida,Florida,79368,South,OFF-LAB-2112,Office Supplies,Labels,Labels model 162,105.54,6,0.1,30.15
113,US-2021-100113,09/12/2021,09/17/2021,Standard Class,CU-10347,Customer 471,Corporate,United States,California,California,54787,West,OFF-PAP-5779,Office Supplies,Paper,Paper model 156,193.03,2,0.4,-23.04
114,US-2021-100114,05/25/2021,05/29/2021,Standard Class,CU-10382,Customer 478,Home Office,United States,New Jersey,New Jersey,98323,East,TEC-MAC-1155,Technology,Machines,Machines model 141,5499.43,5,0.0,871.09
115,US-2024-100115,03/15/2024,03/21/2024,Standard Class,CU-10518,Customer 347,Consumer,United States,Nevada,Nevada,69627,West,FUR-CHA-8001,Furniture,Chairs,Chairs model 201,4551.32,7,0.3,335.03
116,US-2023-100116,07/08/2023,07/14/2023,Standard Class,CU-10404,Customer 299,Home Office,United States,Alabama,Alabama,66413,South,OFF-PAP-2020,Office Supplies,Paper,Paper model 224,269.43,4,0.2,31.37
117,US-2021-100117,05/26/2021,06/02/2021,Second Class,CU-10123,Customer 668,Home Office,United States,Massachusetts,Massachusetts,25766,East,FUR-CHA-7760,Furniture,Chairs,Chairs model 107,1587.16,8,0.3,173.78
118,US-2021-100118,12/29/2021,01/01/2022,Second Class,CU-10101,Customer 87,Home Office,United States,Georgia,Georgia,83355,South,OFF-BIN-2854,Office Supplies,Binders,Binders model 135,416.05,4,0.1,78.39
119,US-2021-100119,09/23/2021,09/25/2021,Standard Class,CU-10373,Customer 11,Consumer,United States,Nevada,Nevada,49493,West,OFF-PAP-7308,Office Supplies,Paper,Paper model 91,119.8,3,0.0,23.94
120,US-2021-100120,03/28/2021,04/04/2021,First Class,CU-10398,Customer 403,Home Office,United States,Georgia,Georgia,81229,South,OFF-PAP-4228,Office Supplies,Paper,Paper model 138,499.43,4,0.15,42.39
121,US-2022-100121,11/16/2022,11/20/2022,Second Class,CU-10325,Customer 54,Home Office,United States,Florida,Florida,86304,South,OFF-BIN-7934,Office Supplies,Binders,Binders model 298,425.32,5,0.0,15.35
122,US-2021-100122,07/07/2021,07/10/2021,Standard Class,CU-10214,Customer 178,Consumer,United States,Ohio,Ohio,27566,Central,OFF-LAB-7719,Office Supplies,Labels,Labels model 18,943.43,7,0.15,191.21
123,US-2021-100123,01/05/2021,01/10/2021,Second Class,CU-10153,Customer 799,Home Office,United States,Ohio,Ohio,83301,Central,TEC-MAC-4781,Technology,Machines,Machines model 71,3409.89,7,0.3,276.16
124,US-2021-100124,01/08/2021,01/12/2021,Standard Class,CU-10346,Customer 541,Corporate,United States,Georgia,Georgia,10387,South,OFF-LAB-6147,Office Supplies,Labels,Labels model 171,1025.69,9,0.1,-80.04
125,US-2024-100125,08/03/2024,08/07/2024,Standard Class,CU-10647,Customer 451,Home Office,United States,Nevada,Nevada,46903,West,FUR-BOO-4917,Furniture,Bookcases,Bookcases model 144,853.41,7,0.1,240.16
126,US-2021-100126,07/16/2021,07/23/2021,Standard Class,CU-10329,Customer 331,Corporate,United States,Ohio,Ohio,52140,Central,OFF-ART-2178,Office Supplies,Art,Art model 60,261.1,2,0.2,23.96
127,US-2021-100127,10/08/2021,10/14/2021,First Class,CU-10726,Customer 410,Corporate,United States,New York,New York,46183,East,OFF-STO-9368,Office Supplies,Storage,Storage model 68,87.15,2,0.0,16.71
128,US-2021-100128,05/05/2021,05/07/2021,Standard Class,CU-10511,Customer 418,Corporate,United States,Nevada,Nevada,14548,West,FUR-CHA-8723,Furniture,Chairs,Chairs model 260,5208.62,8,0.3,-1519.07
129,US-2023-100129,05/30/2023,05/31/2023,Second Class,CU-10624,Customer 37,Consumer,United States,Illinois,Illinois,83844,Central,OFF-ART-2451,Office Supplies,Art,Art model 225,201.32,2,0.3,5.93
